Country;Population;Land Area
India;1,450,935,791;2,973,190
China;1,419,321,278;9,388,211
United States;345,426,571;9,147,420
Indonesia;283,487,931;1,811,570
Pakistan;251,269,164;770,880
Nigeria;232,679,478;910,770
Brazil;211,998,573;8,358,140
Bangladesh;173,562,364;130,170
Russia;144,820,423;16,376,870
Ethiopia;132,059,767;1,000,000
Mexico;130,861,007;1,943,950
Japan;123,753,041;364,555
Egypt;116,538,258;995,450
Philippines;115,843,670;298,170
DR Congo;109,276,265;2,267,050
Vietnam;100,987,686;310,070
Iran;91,567,738;1,628,550
Turkey;87,473,805;769,630
Germany;84,552,242;348,560
Thailand;71,668,011;510,890
United Kingdom;69,138,192;241,930
Tanzania;68,560,157;885,800
France;66,548,530;547,557
South Africa;64,007,187;1,213,090
Italy;59,342,867;294,140
Kenya;56,432,944;569,140
Myanmar;54,500,091;653,290
Colombia;52,886,363;1,109,500
South Korea;51,717,590;97,230
Sudan;50,448,963;1,765,048
Uganda;50,015,092;199,810
Spain;47,910,526;498,800
Algeria;46,814,308;2,381,740
Iraq;46,042,015;434,320
Argentina;45,696,159;2,736,690
Afghanistan;42,647,492;652,860
Yemen;40,583,164;527,970
Canada;39,742,430;9,093,510
Poland;38,539,201;306,230
Morocco;38,081,173;446,300
Angola;37,885,849;1,246,700
Ukraine;37,860,221;579,320
Uzbekistan;36,361,859;425,400
Malaysia;35,557,673;328,550
Mozambique;34,631,766;786,380
Ghana;34,427,414;227,540
Peru;34,217,848;1,280,000
Saudi Arabia;33,962,757;2,149,690
Madagascar;31,964,956;581,795
Côte d'Ivoire;31,934,230;318,000
Nepal;29,651,054;143,350
Cameroon;29,123,744;472,710
Venezuela;28,405,543;882,050
Niger;27,032,412;1,266,700
Australia;26,713,205;7,682,300
North Korea;26,498,823;120,410
Syria;24,672,760;183,630
Mali;24,478,595;1,220,190
Burkina Faso;23,548,781;273,600
Taiwan;23,213,962;35,410
Sri Lanka;23,103,565;62,710
Malawi;21,655,286;94,280
Zambia;21,314,956;743,390
Kazakhstan;20,592,571;2,699,700
Chad;20,299,123;1,259,200
Chile;19,764,771;743,532
Romania;19,015,088;230,170
Somalia;19,009,151;627,340
Senegal;18,501,984;192,530
Guatemala;18,406,359;107,160
Netherlands;18,228,742;33,720
Ecuador;18,135,478;248,360
Cambodia;17,638,801;176,520
Zimbabwe;16,634,373;386,850
Guinea;14,754,785;245,720
Benin;14,462,724;112,760
